Mean,Std,RMS,Peak,Skewness,Kurtosis,Shape_Factor,Crest_Factor,Impulse_Factor,Margin_Factor,Label_Num,Label_Name
0.00452812273319153,0.19679169618110595,0.19683886616402582,0.6959916298020559,-0.27734702372286846,0.3640425922623205,1.2662662894255092,3.5358445380501533,4.477320743182221,5.304351840252815,0,no Leak
0.005309824884830771,0.18561331537790474,0.18568461021512472,0.6667021650752981,-0.28526937341702685,-0.20646349856250934,1.233029301902984,3.5905084664953706,4.427202147919541,5.176602695024466,0,no Leak
-0.007484761467763946,0.19181456556030851,0.19195574899945342,0.6515741037547035,0.06228328086128089,-0.22346953607312026,1.2385541364396153,3.39439744394714,4.204144994920788,4.932135369639818,0,no Leak
-0.004287505665534469,0.18499989123080327,0.18504494376300384,0.5532603676150641,0.038906839308612884,-0.1280056857323264,1.246281401807291,2.9898702248446836,3.7262196550413127,4.393241414951804,0,no Leak
0.000301883512359381,0.1801502417855949,0.1801459909173184,0.586124409369223,-0.03814515019192116,-0.17020354181708264,1.2403642110706303,3.253607845418201,4.03565872831536,4.735616505378839,0,no Leak
-0.002731601712945554,0.17012286582563566,0.17014054200916243,0.6368061898857855,-0.22232013171291784,-0.04110198277234023,1.2561770962877292,3.742824504764374,4.70165041830947,5.581226374217703,0,no Leak
-0.0015898694135851293,0.20392152008036576,0.2039226197294495,0.7208864756049298,-0.12467224448930127,0.03978655951720533,1.2559488163439227,3.5350981492948277,4.43990233626643,5.235142928806404,0,no Leak
-0.0015928968410846842,0.1976513813325635,0.19765285871848562,0.6259331434387505,0.06498368024666247,-0.3776035630635457,1.2365057072064063,3.1668307126802495,3.9158042499856602,4.605185430531805,0,no Leak
-0.0030027539737193507,0.19370119017179638,0.19371962109668553,0.6658911905280492,0.06286937237457793,-0.04436183395081095,1.246066610249113,3.4373967219133816,4.283225281356021,5.037549663076225,0,no Leak
-0.004620219764565209,0.18791951378575436,0.18797160531570753,0.6511164924563024,-0.15080158066270513,-0.013633829773234574,1.249869168375323,3.4639087715547268,4.329432775631092,5.107357405207776,0,no Leak
-0.0017424415866036209,0.17937673167964185,0.17938071013952295,0.5456341270644481,0.0035778357649091357,-0.3640779026280936,1.2297106176824537,3.0417658991318075,3.740491822666799,4.371605394273333,0,no Leak
0.0018541924549228866,0.17532506963775815,0.17533049115639432,0.5453432863342442,0.09654431966252851,-0.1432655570615542,1.2434420320541582,3.1103733454313973,3.867568953090307,4.534232267525388,0,no Leak
0.0012115360856436639,0.21775306714697198,0.21775099368702755,0.7883029310526997,0.04411092220456108,0.14895283698196993,1.2552884443014791,3.6202035990968824,4.5443997439649415,5.347885240660984,0,no Leak
0.002661481969151835,0.2181911469151853,0.21820192416568304,0.6778103937972815,0.014904895780263152,-0.1907367104599893,1.2411011759524042,3.106344714369305,3.85528807791728,4.526921879212336,0,no Leak
-0.001104533653920582,0.21510322899846585,0.2151006872378673,0.6836955456696405,-0.1989020837492695,-0.042372202106565116,1.2649092382037102,3.1784907544882994,4.02050231889733,4.7948466794095586,0,no Leak
0.0041000698296844,0.19495765813437946,0.19499589383734878,0.7511547538292072,0.011317867339981715,0.02073720900721776,1.2371896251106416,3.852156776469176,4.765848398147318,5.545844212484608,0,no Leak
-0.005898169802159224,0.20036291962263791,0.20044470734281006,0.6818126117067891,0.09463371682157061,0.07364431501311541,1.250521024470761,3.4014996990702318,4.253646888418292,5.021778038251257,0,no Leak
-0.01269382609875855,0.19627017429163324,0.19667533764666018,0.7660731668515904,-0.1313657373208118,0.2881175285499684,1.2560926953852556,3.8951155544875173,4.89262619567326,5.754802557480901,0,no Leak
0.014008177881787168,0.18819124503384646,0.1887071884103032,0.5464620388221724,-0.1300665879548342,-0.19525825112573125,1.2499013042738762,2.8958199389522363,3.6194891186386964,4.283365796859153,0,no Leak
0.019376235534888674,0.17820382991972725,0.17924970201178206,0.7215153854675591,-0.12632749916860508,0.16240768045422005,1.2554599679496874,4.025197126520935,5.053473855453147,5.9548284964687745,0,no Leak
-0.00274953118312633,0.18211722158388374,0.1821334235801889,0.8046037057244452,-0.5417067519164596,1.0120751423040835,1.2891426363777596,4.417660909834035,5.69499503192642,6.816314069976082,0,no Leak
0.000451156705565829,0.17797341942111725,0.17796954187702138,0.5485100730040591,-0.0660209581516837,-0.16224987454162898,1.2452284686958301,3.0820446421280594,3.8378497301693115,4.514902178837102,0,no Leak
-0.0011529139776602112,0.1782268227444243,0.17822609605833556,0.5146706114622682,-0.04179470055670984,-0.06862675384624373,1.254078983430756,2.8877399148877183,3.6214539368748073,4.268961994569633,0,no Leak
-0.00775420529258329,0.18674810087545243,0.1869043529125222,0.7468062183520285,-0.09528864197024751,0.262939084270327,1.274878121852525,3.9956598480162744,5.093979322600533,6.083761103984978,0,no Leak
0.013253955448168372,0.21847779286449143,0.21887399727391763,0.7713849421611478,-0.10168569887392992,0.24832561784888307,1.2624926676156911,3.524333414515982,4.449445094059399,5.260194039540362,0,no Leak
0.00644870898236351,0.1977606283483085,0.19786080083975902,0.6819516915391515,-0.338585412287888,0.49727363086186793,1.291196563298129,3.4466235284847646,4.450268454961999,5.353814439662279,0,no Leak
0.0013980916276536135,0.20083457182238068,0.20083441730195636,0.7815975991487214,0.09123493519543543,-0.07695960665265389,1.2484356668050964,3.8917512727591026,4.858601095246593,5.723528667603327,0,no Leak
0.002517210012759517,0.20967290335119065,0.209682771370578,0.6597143166260877,-0.08981083975812022,-0.08483140777177356,1.2608935391189753,3.1462495097422996,3.967085679290309,4.717046168006788,0,no Leak
0.006433691206595106,0.21499619310486554,0.21508706205621475,0.7772869896543142,-0.036848376015078205,0.3331776895832208,1.2730025529798221,3.613824942437328,4.600408377744877,5.469651989837283,0,no Leak
0.013238989562160321,0.19656766284163024,0.19700808353299637,0.7052103752120493,-0.1785829003065711,0.14302504277855688,1.2641988147878023,3.579601215165039,4.5253276136246186,5.374075327442024,0,no Leak
0.0056356366516612634,0.23196361152230607,0.23202626384762426,0.9421297851695388,0.04551671383656843,0.8036060986038529,1.2969707273774511,4.060444578757912,5.266277758787477,6.325840505813119,0,no Leak
0.005158827089900445,0.20798920639648322,0.20804797643544506,0.8927365665969114,0.05743850601528021,0.9187953936944528,1.280842943214499,4.291012976393536,5.4961136900555045,6.52029493328994,0,no Leak
-0.0007723675414765637,0.21877892387041692,0.21877481772507618,0.8198154982643486,-0.48429470853912304,0.2363290220102363,1.2587305980135968,3.747302851348145,4.7168447590155065,5.548463201517107,0,no Leak
-0.00730702169101663,0.2079181528065944,0.2080413164123559,0.7701613879059944,-0.248239374053256,0.20683642497293508,1.2597465845058944,3.7019636348554337,4.663536044974158,5.498786453877526,0,no Leak
